"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2018","10,526.75","10,731.25","10,774.70","10,512.00","1.14B","-1.46%"
"Nov 11, 2018","10,682.20","10,607.80","10,695.15","10,440.55","1.59B","0.92%"
"Nov 04, 2018","10,585.20","10,558.75","10,619.55","10,477.00","929.70M","0.31%"
"Oct 28, 2018","10,553.00","10,078.10","10,606.95","10,020.35","1.85B","5.21%"
"Oct 21, 2018","10,030.00","10,405.85","10,408.55","10,004.55","1.88B","-2.65%"
"Oct 14, 2018","10,303.55","10,524.20","10,710.15","10,249.60","1.20B","-1.61%"
"Oct 07, 2018","10,472.50","10,310.15","10,492.45","10,138.60","2.14B","1.51%"
"Sep 30, 2018","10,316.45","10,930.90","11,035.65","10,261.90","1.86B","-5.62%"
"Sep 23, 2018","10,930.45","11,164.40","11,170.15","10,850.30","2.08B","-1.91%"
"Sep 16, 2018","11,143.10","11,464.95","11,464.95","10,866.45","1.46B","-3.23%"
"Sep 09, 2018","11,515.20","11,570.25","11,573.00","11,250.20","1.18B","-0.64%"
"Sep 02, 2018","11,589.10","11,751.80","11,751.80","11,393.85","1.32B","-0.78%"
"Aug 26, 2018","11,680.50","11,605.85","11,760.20","11,595.60","1.40B","1.07%"
"Aug 19, 2018","11,557.10","11,502.10","11,620.70","11,499.65","952.68M","0.75%"
"Aug 12, 2018","11,470.75","11,369.60","11,486.45","11,340.30","1.04B","0.36%"
"Aug 05, 2018","11,429.50","11,401.50","11,495.20","11,359.70","1.31B","0.60%"
"Jul 29, 2018","11,360.80","11,296.65","11,390.55","11,234.95","1.27B","0.73%"
"Jul 22, 2018","11,278.35","11,019.85","11,283.40","11,010.95","1.36B","2.44%"
"Jul 15, 2018","11,010.20","11,018.95","11,076.20","10,925.60","1.08B","-0.08%"
"Jul 08, 2018","11,018.90","10,838.30","11,078.30","10,807.15","1.12B","2.29%"
"Jul 01, 2018","10,772.65","10,732.35","10,816.35","10,604.65","1.18B","0.54%"
"Jun 24, 2018","10,714.30","10,822.90","10,831.05","10,557.70","1.33B","-0.99%"
"Jun 17, 2018","10,821.85","10,830.20","10,837.00","10,701.20","1.10B","0.04%"
"Jun 10, 2018","10,817.70","10,781.85","10,893.25","10,755.40","1.15B","0.46%"
"Jun 03, 2018","10,767.65","10,765.95","10,818.00","10,550.90","1.02B","0.67%"
"May 27, 2018","10,696.20","10,648.35","10,764.75","10,558.45","1.58B","0.86%"
"May 20, 2018","10,605.15","10,616.70","10,628.05","10,417.80","1.32B","0.08%"
"May 13, 2018","10,596.40","10,815.15","10,929.20","10,589.10","1.13B","-1.94%"
"May 06, 2018","10,806.50","10,653.15","10,812.05","10,635.65","1.08B","1.77%"
"Apr 29, 2018","10,618.25","10,705.75","10,784.65","10,601.60","799.09M","-0.69%"
"Apr 22, 2018","10,692.30","10,592.80","10,719.80","10,514.95","1.27B","1.21%"
"Apr 15, 2018","10,564.05","10,398.30","10,594.20","10,396.35","1.15B","0.80%"
"Apr 08, 2018","10,480.60","10,333.70","10,519.90","10,328.50","1.21B","1.44%"
"Apr 01, 2018","10,331.60","10,151.65","10,350.45","10,111.30","1.13B","2.15%"
"Mar 25, 2018","10,113.70","9,989.15","10,207.90","9,958.55","858.36M","1.16%"
"Mar 18, 2018","9,998.05","10,215.35","10,227.30","9,951.90","1.17B","-1.93%"
