"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 13, 2011","4,265.31","4,337.83","4,370.39","4,256.30","-","-1.67%"
"Nov 06, 2011","4,337.83","4,269.21","4,391.75","4,253.75","-","1.61%"
"Oct 30, 2011","4,269.21","4,327.25","4,327.25","4,209.30","-","-1.34%"
"Oct 23, 2011","4,327.25","4,127.63","4,335.64","4,120.15","-","4.84%"
"Oct 16, 2011","4,127.63","4,003.64","4,130.88","3,976.26","-","3.10%"
"Oct 09, 2011","4,003.64","3,865.74","4,068.41","3,865.74","-","3.57%"
"Oct 02, 2011","3,865.74","3,888.59","3,952.31","3,600.42","-","-0.59%"
"Sep 25, 2011","3,888.59","3,772.14","3,965.52","3,772.29","-","3.09%"
"Sep 18, 2011","3,772.14","4,057.54","4,114.32","3,751.35","-","-7.03%"
"Sep 11, 2011","4,057.54","4,106.37","4,108.38","3,997.43","-","-1.19%"
"Sep 04, 2011","4,106.37","4,250.72","4,250.72","4,063.87","-","-3.40%"
"Aug 28, 2011","4,250.72","4,120.84","4,320.75","4,120.84","-","3.15%"
"Aug 21, 2011","4,120.84","4,129.71","4,211.26","4,050.60","-","-0.21%"
"Aug 14, 2011","4,129.71","4,250.69","4,267.64","4,105.99","-","-2.85%"
"Aug 07, 2011","4,250.69","4,066.09","4,292.42","3,766.07","-","4.54%"
"Jul 31, 2011","4,066.09","4,425.98","4,501.48","4,004.14","-","-8.13%"
"Jul 24, 2011","4,425.98","4,627.80","4,627.80","4,392.18","-","-4.36%"
"Jul 17, 2011","4,627.80","4,724.80","4,726.57","4,591.69","-","-2.05%"
"Jul 10, 2011","4,724.80","4,769.39","4,769.39","4,689.85","-","-0.93%"
"Jul 03, 2011","4,769.39","4,798.12","4,811.81","4,733.54","-","-0.60%"
"Jun 26, 2011","4,798.12","4,696.35","4,802.44","4,696.35","-","2.17%"
"Jun 19, 2011","4,696.35","4,623.51","4,737.62","4,578.53","-","1.58%"
"Jun 12, 2011","4,623.51","4,737.51","4,737.51","4,525.82","-","-2.41%"
"Jun 05, 2011","4,737.51","4,877.85","4,877.85","4,719.71","-","-2.88%"
"May 29, 2011","4,877.85","4,841.65","4,882.20","4,823.35","-","0.75%"
"May 22, 2011","4,841.65","4,818.96","4,869.96","4,514.68","-","0.47%"
"May 15, 2011","4,818.96","4,851.01","4,884.92","4,805.43","-","-0.66%"
"May 08, 2011","4,851.01","4,813.64","4,867.54","4,809.12","-","0.78%"
"May 01, 2011","4,813.64","4,822.50","4,836.28","4,584.49","-","-0.18%"
"Apr 24, 2011","4,822.50","4,738.66","4,825.11","4,725.47","-","1.77%"
"Apr 17, 2011","4,738.66","4,669.88","4,741.76","4,610.05","-","1.47%"
"Apr 10, 2011","4,669.88","4,712.97","4,751.97","4,610.83","-","-0.91%"
"Apr 03, 2011","4,712.97","4,712.85","4,818.85","4,704.71","-","0.00%"
"Mar 27, 2011","4,712.85","4,588.55","4,717.45","4,546.31","-","2.71%"
"Mar 20, 2011","4,588.55","4,313.64","4,623.29","4,313.64","-","6.37%"
"Mar 13, 2011","4,313.64","4,324.28","4,391.74","4,223.46","-","-0.25%"
"Mar 06, 2011","4,324.28","4,527.47","4,534.60","4,317.14","-","-4.49%"
"Feb 27, 2011","4,527.47","4,373.90","4,566.88","4,373.90","-","3.51%"
"Feb 20, 2011","4,373.90","4,445.98","4,459.98","4,215.91","-","-1.62%"
"Feb 13, 2011","4,445.98","4,578.14","4,645.77","4,442.85","-","-2.89%"
"Feb 06, 2011","4,578.14","4,610.28","4,630.72","4,370.83","-","-0.70%"
"Jan 30, 2011","4,610.28","4,672.33","4,737.84","4,527.03","-","-1.33%"
"Jan 23, 2011","4,672.33","4,875.66","4,895.10","4,646.99","-","-4.17%"
"Jan 16, 2011","4,875.66","4,931.41","4,957.25","4,837.28","-","-1.13%"
"Jan 09, 2011","4,931.41","4,947.04","4,958.58","4,827.15","-","-0.32%"
"Jan 02, 2011","4,947.04","4,927.53","5,048.13","4,927.53","-","0.40%"
"Dec 26, 2010","4,927.53","4,895.59","4,929.74","4,824.11","-","0.65%"
"Dec 19, 2010","4,895.59","5,006.59","5,020.38","4,858.43","-","-2.22%"
"Dec 12, 2010","5,006.59","4,945.74","5,014.99","4,938.74","-","1.23%"
"Dec 05, 2010","4,945.74","4,970.02","4,996.66","4,937.45","-","-0.49%"
"Nov 28, 2010","4,970.02","4,974.77","4,998.74","4,941.35","-","-0.10%"
"Nov 21, 2010","4,974.77","4,965.17","5,009.37","4,932.39","-","0.19%"
"Nov 14, 2010","4,965.17","4,977.95","4,986.28","4,870.18","-","-0.26%"
"Nov 07, 2010","4,977.95","4,958.44","5,047.00","4,933.39","-","0.39%"
"Oct 31, 2010","4,958.44","4,912.53","5,027.60","4,912.53","-","0.93%"
"Oct 24, 2010","4,912.53","4,793.37","4,920.37","4,786.32","-","2.49%"
"Oct 17, 2010","4,793.37","4,735.06","4,804.24","4,728.50","-","1.23%"
"Oct 10, 2010","4,735.06","4,699.18","4,801.08","4,665.55","-","0.76%"
"Oct 03, 2010","4,699.18","4,802.93","4,823.54","4,674.11","-","-2.16%"
"Sep 26, 2010","4,802.93","4,730.20","4,813.06","4,730.95","-","1.54%"
"Sep 19, 2010","4,730.20","4,813.52","4,849.17","4,705.50","-","-1.73%"
"Sep 12, 2010","4,813.52","4,710.86","4,838.20","4,710.21","-","2.18%"
"Sep 05, 2010","4,710.86","4,628.12","4,766.84","4,591.63","-","1.79%"
"Aug 29, 2010","4,628.12","4,480.35","4,634.28","4,476.69","-","3.30%"
"Aug 22, 2010","4,480.35","4,513.31","4,543.92","4,442.30","-","-0.73%"
"Aug 15, 2010","4,513.31","4,462.24","4,525.16","4,444.79","-","1.14%"
"Aug 08, 2010","4,462.24","4,462.82","4,497.92","4,339.23","-","-0.01%"
"Aug 01, 2010","4,462.82","4,364.15","4,464.96","4,364.15","-","2.26%"
"Jul 25, 2010","4,364.15","4,326.00","4,394.45","4,326.00","-","0.88%"
"Jul 18, 2010","4,326.00","4,221.61","4,330.51","4,173.31","-","2.47%"
"Jul 11, 2010","4,221.61","4,180.95","4,224.28","4,158.18","-","0.97%"
"Jul 04, 2010","4,180.95","4,060.13","4,193.10","4,029.85","-","2.98%"
"Jun 27, 2010","4,060.13","4,123.85","4,123.85","4,022.03","-","-1.55%"
