"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2018","5,813.13","5,813.13","5,813.13","5,813.13","-","-0.48%"
"Apr 01, 2018","5,841.19","5,841.19","5,841.19","5,841.19","-","4.35%"
"Mar 25, 2018","5,597.44","5,597.44","5,597.44","5,597.44","-","0.30%"
"Mar 18, 2018","5,580.58","5,580.58","5,580.58","5,580.58","-","-2.45%"
"Mar 11, 2018","5,720.59","5,720.59","5,720.59","5,720.59","-","-1.84%"
"Mar 04, 2018","5,827.98","5,827.98","5,827.98","5,827.98","-","-0.73%"
"Feb 25, 2018","5,870.83","5,870.83","5,870.83","5,870.83","-","-0.61%"
"Feb 18, 2018","5,906.98","5,906.98","5,906.98","5,906.98","-","-2.37%"
"Feb 11, 2018","6,050.19","6,050.19","6,050.19","6,050.19","-","1.42%"
"Feb 04, 2018","5,965.62","5,965.62","5,965.62","5,965.62","-","-0.93%"
"Jan 28, 2018","6,021.44","6,021.44","6,021.44","6,021.44","-","-3.13%"
"Jan 21, 2018","6,215.80","6,215.80","6,215.80","6,215.80","-","1.53%"
"Jan 14, 2018","6,122.23","6,122.23","6,122.23","6,122.23","-","-0.92%"
"Jan 07, 2018","6,179.32","6,179.32","6,179.32","6,179.32","-","-1.96%"
"Dec 31, 2017","6,302.84","6,302.84","6,302.84","6,302.84","-","0.93%"
"Dec 24, 2017","6,244.52","6,244.52","6,244.52","6,244.52","-","1.00%"
"Dec 17, 2017","6,182.78","6,182.78","6,182.78","6,182.78","-","-0.76%"
"Dec 10, 2017","6,230.01","6,230.01","6,230.01","6,230.01","-","-0.29%"
"Dec 03, 2017","6,248.22","6,248.22","6,248.22","6,248.22","-","-0.93%"
"Nov 26, 2017","6,306.86","6,306.86","6,306.86","6,306.86","-","-0.25%"
"Nov 19, 2017","6,322.51","6,322.51","6,322.51","6,322.51","-","0.64%"
"Nov 12, 2017","6,282.09","6,282.09","6,282.09","6,282.09","-","1.43%"
"Nov 05, 2017","6,193.56","6,193.56","6,193.56","6,193.56","-","1.55%"
"Oct 29, 2017","6,099.02","6,099.02","6,099.02","6,099.02","-","1.34%"
"Oct 22, 2017","6,018.25","6,018.25","6,018.25","6,018.25","-","-0.35%"
"Oct 15, 2017","6,039.55","6,039.55","6,039.55","6,039.55","-","-0.41%"
"Oct 08, 2017","6,064.40","6,064.40","6,064.40","6,064.40","-","-2.22%"
"Oct 01, 2017","6,202.31","6,202.31","6,202.31","6,202.31","-","1.80%"
"Sep 24, 2017","6,092.84","6,092.84","6,092.84","6,092.84","-","-1.26%"
"Sep 17, 2017","6,170.47","6,170.47","6,170.47","6,170.47","-","-0.54%"
"Sep 10, 2017","6,203.90","6,203.90","6,203.90","6,203.90","-","1.45%"
"Sep 03, 2017","6,114.98","6,114.98","6,114.98","6,114.98","-","1.81%"
"Aug 27, 2017","6,006.43","6,006.43","6,006.43","6,006.43","-","2.06%"
"Aug 20, 2017","5,885.42","5,885.42","5,885.42","5,885.42","-","0.41%"
"Aug 13, 2017","5,861.11","5,861.11","5,861.11","5,861.11","-","-0.69%"
"Aug 06, 2017","5,901.80","5,901.80","5,901.80","5,901.80","-","0.36%"
"Jul 30, 2017","5,880.44","5,880.44","5,880.44","5,880.44","-","1.12%"
"Jul 23, 2017","5,815.07","5,815.07","5,815.07","5,815.07","-","0.56%"
"Jul 16, 2017","5,782.47","5,782.47","5,782.47","5,782.47","-","-0.90%"
"Jul 09, 2017","5,834.86","5,834.86","5,834.86","5,834.86","-","1.48%"
"Jul 02, 2017","5,749.65","5,749.65","5,749.65","5,749.65","-","1.66%"
"Jun 25, 2017","5,656.04","5,656.04","5,656.04","5,656.04","-","1.02%"
"Jun 18, 2017","5,599.07","5,599.07","5,599.07","5,599.07","-","2.39%"
"Jun 11, 2017","5,468.32","5,468.32","5,468.32","5,468.32","-","-0.14%"
"Jun 04, 2017","5,475.74","5,475.74","5,475.74","5,475.74","-","0.68%"
"May 28, 2017","5,438.70","5,438.70","5,438.70","5,438.70","-","0.46%"
"May 21, 2017","5,413.81","5,413.81","5,413.81","5,413.81","-","0.26%"
"May 14, 2017","5,399.66","5,399.66","5,399.66","5,399.66","-","-1.76%"
"May 07, 2017","5,496.20","5,496.20","5,496.20","5,496.20","-","-0.80%"
"Apr 30, 2017","5,540.71","5,540.71","5,540.71","5,540.71","-","0.11%"
"Apr 23, 2017","5,534.42","5,534.42","5,534.42","5,534.42","-","0.23%"
"Apr 16, 2017","5,521.66","5,521.66","5,521.66","5,521.66","-","-2.20%"
"Apr 09, 2017","5,645.86","5,645.86","5,645.86","5,645.86","-","-1.58%"
"Apr 02, 2017","5,736.40","5,736.40","5,736.40","5,736.40","-","0.29%"
"Mar 26, 2017","5,719.61","5,719.61","5,719.61","5,719.61","-","-0.12%"
"Mar 19, 2017","5,726.23","5,726.23","5,726.23","5,726.23","-","0.44%"
"Mar 12, 2017","5,701.27","5,701.27","5,701.27","5,701.27","-","0.52%"
"Mar 05, 2017","5,671.61","5,671.61","5,671.61","5,671.61","-","1.52%"
"Feb 26, 2017","5,586.74","5,586.74","5,586.74","5,586.74","-","-0.69%"
"Feb 19, 2017","5,625.33","5,625.33","5,625.33","5,625.33","-","0.62%"
"Feb 12, 2017","5,590.66","5,590.66","5,590.66","5,590.66","-","1.42%"
"Feb 05, 2017","5,512.46","5,512.46","5,512.46","5,512.46","-","2.75%"
"Jan 29, 2017","5,365.13","5,365.13","5,365.13","5,365.13","-","-4.51%"
"Jan 22, 2017","5,618.64","5,618.64","5,618.64","5,618.64","-","1.53%"
"Jan 15, 2017","5,534.06","5,534.06","5,534.06","5,534.06","-","3.58%"
"Jan 08, 2017","5,342.87","5,342.87","5,342.87","5,342.87","-","3.10%"
"Jan 01, 2017","5,182.24","5,182.24","5,182.24","5,182.24","-","2.90%"
"Dec 25, 2016","5,036.05","5,036.05","5,036.05","5,036.05","-","1.60%"
"Dec 18, 2016","4,956.73","4,956.73","4,956.73","4,956.73","-","0.63%"
"Dec 11, 2016","4,925.72","4,925.72","4,925.72","4,925.72","-","0.67%"
"Dec 04, 2016","4,892.81","4,892.81","4,892.81","4,892.81","-","1.45%"
"Nov 27, 2016","4,823.02","4,823.02","4,823.02","4,823.02","-","0.66%"
"Nov 20, 2016","4,791.33","4,791.33","4,791.33","4,791.33","-","1.97%"
"Nov 13, 2016","4,698.54","4,698.54","4,698.54","4,698.54","-","0.46%"
"Nov 06, 2016","4,677.13","4,677.13","4,677.13","4,677.13","-","0.09%"
