"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2011","479.67","469.01","484.74","467.77","98.82K","1.47%"
"May 01, 2011","472.71","483.30","488.02","470.13","66.89K","-1.54%"
"Apr 24, 2011","480.08","458.99","481.13","458.99","131.89K","5.18%"
"Apr 17, 2011","456.45","458.39","462.74","453.54","118.40K","-0.98%"
"Apr 10, 2011","460.96","464.21","464.74","459.87","74.72K","-0.72%"
"Apr 03, 2011","464.29","459.95","465.85","454.86","123.18K","1.12%"
"Mar 27, 2011","459.17","458.35","465.31","454.31","140.41K","0.31%"
"Mar 20, 2011","457.74","467.17","470.98","457.66","168.38K","-0.72%"
"Mar 13, 2011","461.08","491.95","493.20","454.73","209.09K","-6.86%"
"Mar 06, 2011","495.06","465.21","496.22","464.44","174.35K","7.80%"
"Feb 27, 2011","459.23","467.12","474.22","449.78","168.68K","-1.66%"
"Feb 20, 2011","466.96","497.71","497.71","455.74","211.35K","-7.33%"
"Feb 13, 2011","503.92","520.73","522.37","502.55","174.27K","-3.09%"
"Feb 06, 2011","519.98","515.70","529.20","515.61","123.81K","1.84%"
"Jan 23, 2011","510.60","525.70","525.70","498.11","167.72K","-1.71%"
"Jan 16, 2011","519.50","492.89","521.22","492.37","215.69K","6.19%"
"Jan 09, 2011","489.22","483.71","490.11","475.48","181.01K","1.53%"
"Jan 02, 2011","481.86","485.72","487.94","479.87","131.03K","-0.58%"
"Dec 26, 2010","484.66","475.64","485.22","469.64","307.89K","2.52%"
"Dec 19, 2010","472.76","488.30","488.69","470.14","309.81K","-2.58%"
"Dec 12, 2010","485.29","485.82","497.09","476.27","467.54K","2.59%"
"Dec 05, 2010","473.06","467.30","473.06","450.16","408.98K","1.88%"
"Nov 28, 2010","464.35","437.92","467.20","436.38","299.42K","5.55%"
"Nov 21, 2010","439.94","422.71","443.68","419.98","165.63K","3.15%"
"Nov 14, 2010","426.51","440.61","443.08","424.32","162.30K","-3.42%"
"Nov 07, 2010","441.60","457.50","458.74","436.50","170.95K","-3.43%"
"Oct 31, 2010","457.27","451.81","457.27","442.34","139.42K","1.03%"
"Oct 24, 2010","452.63","444.67","458.23","443.12","149.05K","1.67%"
"Oct 17, 2010","445.21","458.44","459.39","440.59","158.03K","-2.88%"
"Oct 10, 2010","458.39","457.41","461.48","452.19","125.87K","-0.19%"
"Oct 03, 2010","459.26","452.38","467.61","440.63","189.49K","1.67%"
"Sep 26, 2010","451.71","451.17","458.00","449.37","185.97K","0.44%"
"Sep 19, 2010","449.71","462.01","462.83","447.16","233.53K","-1.72%"
"Sep 12, 2010","457.58","448.97","457.58","442.43","210.37K","1.37%"
"Sep 05, 2010","451.39","463.94","469.25","451.39","266.97K","-1.60%"
"Aug 29, 2010","458.75","439.27","458.75","439.27","137.26K","6.90%"
"Aug 22, 2010","429.14","453.06","453.06","421.30","197.61K","-5.65%"
"Aug 15, 2010","454.84","458.09","464.76","444.38","182.82K","0.47%"
"Aug 08, 2010","452.73","482.65","482.65","440.72","236.49K","-6.23%"
"Aug 01, 2010","482.82","494.78","496.53","482.37","195.35K","-2.25%"
"Jul 25, 2010","493.91","501.20","501.92","488.92","216.00K","-1.28%"
"Jul 18, 2010","500.31","504.25","507.27","499.73","230.91K","-1.17%"
"Jul 11, 2010","506.21","499.83","512.81","497.16","225.86K","1.35%"
"Jul 04, 2010","499.46","505.67","507.08","496.91","211.82K","-0.83%"
"Jun 27, 2010","503.65","505.37","511.37","501.06","243.43K","-0.29%"
"Jun 20, 2010","505.12","515.08","515.76","505.12","281.68K","-1.19%"
"Jun 13, 2010","511.18","506.55","514.04","506.31","263.51K","1.37%"
"Jun 06, 2010","504.29","498.94","506.75","493.20","203.04K","-1.19%"
"May 30, 2010","510.37","510.54","516.22","503.65","227.06K","-0.51%"
"May 23, 2010","512.99","485.10","513.34","479.56","230.29K","6.06%"
"May 16, 2010","483.69","521.30","521.67","481.68","281.55K","-7.11%"
"May 09, 2010","520.72","541.49","541.49","516.11","327.07K","-3.93%"
"May 02, 2010","542.03","544.52","551.40","536.51","369.69K","-0.06%"
"Apr 25, 2010","542.37","531.69","542.74","531.21","263.08K","2.47%"
"Apr 18, 2010","529.31","521.35","534.53","515.20","256.29K","1.39%"
"Apr 11, 2010","522.03","522.12","523.99","515.81","270.16K","0.89%"
"Apr 04, 2010","517.42","514.17","520.31","512.54","284.53K","1.36%"
"Mar 28, 2010","510.48","506.70","513.10","499.24","247.52K","1.03%"
"Mar 21, 2010","505.30","515.71","517.79","501.64","249.70K","-2.07%"
"Mar 14, 2010","515.99","538.01","538.01","510.47","275.84K","-2.92%"
"Mar 07, 2010","531.51","517.00","531.51","517.00","284.70K","3.53%"
"Feb 28, 2010","513.39","502.57","516.77","500.08","212.73K","3.32%"
"Feb 21, 2010","496.91","513.19","513.19","490.21","143.34K","-1.99%"
"Feb 07, 2010","507.00","488.86","508.72","482.38","111.82K","2.83%"
"Jan 31, 2010","493.04","482.93","504.35","481.84","147.76K","2.30%"
"Jan 24, 2010","481.96","476.75","498.20","476.75","138.55K","0.92%"
"Jan 17, 2010","477.59","499.08","499.24","471.85","182.86K","-5.51%"
"Jan 10, 2010","505.42","522.78","524.06","485.75","225.75K","-2.97%"
"Jan 03, 2010","520.90","501.74","544.49","501.74","342.73K","5.28%"
"Dec 27, 2009","494.77","490.68","504.84","483.07","248.76K","-0.06%"
"Dec 20, 2009","495.08","457.08","495.76","452.55","230.03K","11.67%"
"Dec 13, 2009","443.34","449.25","463.42","427.06","206.11K","-0.18%"
"Dec 06, 2009","444.16","495.43","498.61","442.61","185.05K","-10.26%"
"Nov 29, 2009","494.96","494.12","518.32","485.59","212.61K","0.88%"
"Nov 22, 2009","490.62","551.92","553.40","461.48","272.20K","-11.73%"
"Nov 15, 2009","555.84","550.97","562.64","543.61","266.53K","1.39%"
