"Date","Price","Open","High","Low","Change %"
"Oct 05, 2011","11.930","11.930","11.930","11.930","-0.75%"
"Oct 04, 2011","12.020","12.020","12.020","12.020","-0.04%"
"Oct 03, 2011","12.025","12.025","12.025","12.025","0.79%"
"Sep 30, 2011","11.931","11.931","11.931","11.931","0.26%"
"Sep 29, 2011","11.900","11.900","11.900","11.900","0.00%"
"Sep 28, 2011","11.900","11.900","11.900","11.900","-0.06%"
"Sep 27, 2011","11.907","11.907","11.907","11.907","-0.02%"
"Sep 26, 2011","11.909","11.909","11.909","11.909","-0.30%"
"Sep 23, 2011","11.945","11.945","11.945","11.945","0.00%"
"Sep 22, 2011","11.945","11.945","11.945","11.945","-0.20%"
"Sep 21, 2011","11.969","11.969","11.969","11.969","0.20%"
"Sep 20, 2011","11.945","11.945","11.945","11.945","0.16%"
"Sep 19, 2011","11.926","11.926","11.926","11.926","0.01%"
"Sep 16, 2011","11.925","11.925","11.925","11.925","-0.62%"
"Sep 15, 2011","12.000","12.000","12.000","12.000","0.13%"
"Sep 14, 2011","11.985","11.985","11.985","11.985","0.13%"
"Sep 13, 2011","11.970","11.970","11.970","11.970","0.55%"
"Sep 12, 2011","11.905","11.905","11.905","11.905","-0.38%"
"Sep 09, 2011","11.951","11.951","11.951","11.951","0.01%"
"Sep 08, 2011","11.950","11.950","11.950","11.950","-0.17%"
"Sep 07, 2011","11.970","11.970","11.970","11.970","0.00%"
"Sep 06, 2011","11.970","11.970","11.970","11.970","0.54%"
"Sep 05, 2011","11.906","11.906","11.906","11.906","-0.53%"
"Sep 01, 2011","11.970","11.970","11.970","11.970","0.23%"
"Aug 31, 2011","11.943","11.943","11.943","11.943","-0.39%"
"Aug 30, 2011","11.990","11.990","11.990","11.990","-0.50%"
"Aug 29, 2011","12.050","12.050","12.050","12.050","0.74%"
"Aug 26, 2011","11.961","11.961","11.961","11.961","0.15%"
"Aug 25, 2011","11.943","11.943","11.943","11.943","0.03%"
"Aug 24, 2011","11.940","11.940","11.940","11.940","0.01%"
"Aug 23, 2011","11.939","11.939","11.939","11.939","0.00%"
"Aug 22, 2011","11.939","11.939","11.939","11.939","0.00%"
"Aug 19, 2011","11.939","11.939","11.939","11.939","0.29%"
"Aug 18, 2011","11.905","11.905","11.905","11.905","0.00%"
"Aug 17, 2011","11.905","11.905","11.905","11.905","-0.93%"
"Aug 16, 2011","12.017","12.017","12.017","12.017","0.01%"
"Aug 15, 2011","12.016","12.016","12.016","12.016","0.23%"
"Aug 12, 2011","11.988","11.988","11.988","11.988","0.43%"
"Aug 11, 2011","11.937","11.937","11.937","11.937","-0.22%"
"Aug 10, 2011","11.963","11.963","11.963","11.963","-0.18%"
"Aug 09, 2011","11.984","11.984","11.984","11.984","-0.04%"
"Aug 08, 2011","11.989","11.989","11.989","11.989","-0.01%"
"Aug 05, 2011","11.990","11.990","11.990","11.990","-0.42%"
"Aug 04, 2011","12.040","12.040","12.040","12.040","0.38%"
"Aug 03, 2011","11.994","11.994","11.994","11.994","0.37%"
"Aug 02, 2011","11.950","11.950","11.950","11.950","0.00%"
"Aug 01, 2011","11.950","11.950","11.950","11.950","-0.03%"
"Jul 29, 2011","11.954","11.954","11.954","11.954","0.14%"
"Jul 28, 2011","11.937","11.937","11.937","11.937","-0.05%"
"Jul 27, 2011","11.943","11.943","11.943","11.943","-0.52%"
"Jul 26, 2011","12.005","12.005","12.005","12.005","0.44%"
"Jul 25, 2011","11.953","11.953","11.953","11.953","-0.06%"
"Jul 22, 2011","11.960","11.960","11.960","11.960","-0.39%"
"Jul 21, 2011","12.007","12.007","12.007","12.007","-0.11%"
"Jul 20, 2011","12.020","12.020","12.020","12.020","0.42%"
"Jul 19, 2011","11.970","11.970","11.970","11.970","-0.16%"
"Jul 18, 2011","11.989","11.989","11.989","11.989","0.00%"
"Jul 15, 2011","11.989","11.989","11.989","11.989","0.12%"
"Jul 14, 2011","11.975","11.975","11.975","11.975","-0.26%"
"Jul 13, 2011","12.006","12.006","12.006","12.006","0.00%"
"Jul 12, 2011","12.006","12.006","12.006","12.006","-0.01%"
"Jul 11, 2011","12.007","12.007","12.007","12.007","0.26%"
"Jul 08, 2011","11.976","11.976","11.976","11.976","-0.11%"
"Jul 07, 2011","11.989","11.989","11.989","11.989","0.23%"
"Jul 06, 2011","11.962","11.962","11.962","11.962","-0.09%"
"Jul 05, 2011","11.973","11.973","11.973","11.973","0.39%"
"Jul 04, 2011","11.926","11.926","11.926","11.926","-0.15%"
"Jul 01, 2011","11.944","11.944","11.944","11.944","-0.13%"
"Jun 30, 2011","11.960","11.960","11.960","11.960","-0.20%"
"Jun 29, 2011","11.984","11.984","11.984","11.984","0.29%"
"Jun 28, 2011","11.949","11.949","11.949","11.949","-0.42%"
"Jun 27, 2011","12.000","12.000","12.000","12.000","0.14%"
"Jun 24, 2011","11.983","11.983","11.983","11.983","-0.56%"
"Jun 23, 2011","12.050","12.050","12.050","12.050","0.32%"
"Jun 22, 2011","12.012","12.012","12.012","12.012","0.00%"
"Jun 21, 2011","12.012","12.012","12.012","12.012","-0.23%"
