Country Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Eswatini,..,..,..,..,338600000,338860000,471190000,129460000,85040000,94830000,73030000,127100000,147770000,172250000,222040000,196330000,197500000,234260000,..,..,..,..,..,..,..,..,..,..,..,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Faroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Finland,22721300000,14199400000,11953800000,23524610000,38230500000,44137530000,61356300000,73804290000,1.54833E+11,3.49394E+11,2.93634E+11,1.90456E+11,1.38832E+11,1.70292E+11,1.83765E+11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,3.11687E+11,3.58194E+11,3.2736E+11,4.5599E+11,4.52521E+11,4.99944E+11,5.85916E+11,6.74405E+11,9.85227E+11,1.50295E+12,1.44663E+12,1.17466E+12,9.67015E+11,1.35593E+12,1.55911E+12,1.75851E+12,2.42825E+12,2.74034E+12,1.47241E+12,1.94619E+12,1.91152E+12,1.55396E+12,1.80819E+12,2.30109E+12,2.0859E+12,2.08832E+12,2.15905E+12,2.74931E+12,2.36595E+12,..
French Polynesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Gambia, The",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
