Faroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,67.56,60.93,84.27,79.26,51.08,55.20,59.65,56.15,46.10,43.66,36.21,32.17,41.91,62.80,80.12,80.43,67.40,60.85,53.33,77.80,88.20,87.31,121.81,105.38,108.77,117.98,134.59,166.28,125.76
Finland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,1298.92,1528.87,1576.83,1583.21,1717.62,2067.81,1817.50,1619.41,1599.39,1488.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,138.21,146.25,68.33,97.94,171.23,132.49,113.67,34.02,38.15,39.86,9.65,6.87,55.62,-8.27,29.58,36.17,21.82,36.13,42.22,49.68,65.43,41.23,39.35,47.99,59.07,50.72,20.67,51.51,54.84
"Gambia, The",101.78,100.27,105.93,80.03,62.96,40.25,30.98,32.40,31.86,26.90,37.67,38.77,45.91,43.65,40.99,39.36,47.25,59.27,56.02,71.93,67.53,73.43,72.95,57.19,49.57,54.62,42.80,125.77,102.03
Georgia,..,0.04,4.18,21.34,36.67,44.88,68.88,55.64,49.17,59.38,42.17,73.27,79.73,57.87,80.01,75.17,92.05,98.94,212.58,208.18,155.51,145.10,176.78,173.85,151.57,120.51,124.14,119.83,158.04
Germany,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ghana,37.89,57.78,39.24,38.94,33.07,38.20,37.30,27.59,38.34,32.43,31.16,32.64,34.05,47.47,66.71,52.84,55.24,50.64,55.69,65.56,68.49,71.05,69.21,49.92,41.25,63.57,46.30,43.37,35.85
Gibraltar,19.21,88.55,108.88,-0.35,19.93,7.32,-8.28,12.58,7.35,0.98,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,143.26,170.54,133.07,80.12,237.64,107.89,117.33,87.43,61.36,101.53,164.05,109.35,98.62,103.65,149.50,502.57,255.50,248.03,301.55,433.22,318.64,112.64,71.29,115.84,364.64,219.89,77.82,52.67,275.45
Guam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,20.07,20.16,20.43,22.02,19.27,19.73,17.17,23.54,20.68,24.67,22.38,19.05,20.74,20.74,18.25,20.58,37.37,33.94,38.52,26.58,27.48,23.65,19.97,31.84,17.57,25.31,16.01,21.68,22.82
Guinea,45.90,57.77,66.60,59.49,50.59,57.21,39.93,49.78,45.74,29.53,18.62,34.36,29.60,28.63,30.79,21.18,18.60,27.07,36.06,21.84,21.68,19.40,59.46,42.92,50.50,47.14,48.28,39.14,47.57
Guinea-Bissau,129.56,113.10,105.16,90.60,163.51,108.00,162.73,109.96,83.17,44.68,67.49,49.46,47.73,113.28,59.27,49.64,64.03,88.96,93.78,100.68,84.72,77.19,50.04,64.09,65.14,54.71,110.42,62.01,81.29
Guyana,221.67,171.60,90.14,116.65,89.74,89.44,116.72,310.74,100.00,74.19,85.21,85.77,63.45,79.56,135.89,135.84,173.53,104.60,161.20,148.76,141.99,140.45,152.13,133.34,210.39,41.88,90.62,65.96,131.50
Haiti,22.12,23.77,13.73,16.17,80.93,84.55,41.98,34.97,42.93,25.70,21.46,19.75,17.36,20.98,30.96,39.87,56.88,65.57,85.48,101.12,290.46,149.15,124.22,110.77,102.60,97.78,98.86,89.33,89.20
Honduras,82.95,58.76,59.99,53.45,46.13,65.63,40.64,45.57,45.58,118.37,60.82,83.27,55.14,44.64,74.09,87.06,67.88,52.19,57.90,51.33,56.57,42.36,65.53,71.13,67.70,59.31,44.48,46.83,68.83
"Hong Kong SAR, China",6.69,6.27,-6.72,5.13,4.45,2.88,2.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Iceland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
India,1.60,3.07,2.67,1.58,2.46,1.80,1.94,1.64,1.58,1.44,1.31,1.61,1.59,0.65,0.69,1.63,1.19,1.12,1.68,2.02,2.29,2.62,1.33,1.92,2.31,2.42,2.02,2.39,1.81
Indonesia,8.78,9.71,10.22,9.83,7.76,6.36,5.29,3.93,6.15,10.22,7.78,6.80,5.96,7.89,0.44,11.00,5.36,3.17,4.87,3.78,5.47,1.46,0.28,0.28,-1.50,-0.11,-0.41,1.06,3.54
"Iran, Islamic Rep.",1.89,3.35,1.80,2.35,2.15,3.04,2.64,3.18,2.57,2.49,1.98,1.72,1.70,1.92,2.74,1.44,1.66,1.45,1.39,1.27,1.52,1.42,2.01,1.72,1.05,1.41,1.46,1.74,2.03
